"","Country.Territory","Status","PR.Rating","CL.Rating","A1","A2","A3","A.Aggr","B1","B2","B3","B4","B.Aggr","C1","C2","C3","C.Aggr","Add.A","Add.B","PR.Aggr","D1","D2","D3","D4","D.Aggr","E1","E2","E3","E.Aggr","F1","F2","F3","F4","F.Aggr","G1","G2","G3","G4","G.Aggr","CL.Aggr","Total.Aggr","Year.x","Region.x","pti.COW_Code_A","pti.COW_Code_N","pti.WordBank_Code_A","pti.UN_Code_N","pti.Region.y","pti.PTS_A","pti.PTS_H","pti.PTS_S","HDI.Country","unhdi.Human.Development.Index..HDI.","unhdi.Human.Dev.Category","unhdi.Life.expectancy.at.birth","unhdi.HDI.rank","unhdi.Expected.years.of.schooling","unhdi.Mean.years.of.schooling","unhdi.Gross.national.income..GNI..per.capita","unhdi.GNI.per.capita.rank.minus.HDI.rank","unhdi.Mobile.phone.subscriptions..per.100.people.","unhdi.Internet.users....of.population.","unhdi.Foreign.direct.investment..net.inflows....of.GDP.","unhdi.Private.capital.flows..","unhdi.Net.official.development.assistance.received","unhdi.Remittances..inflows","unhdi.Net.migration.rate","unhdi.Stock.of.immigrants","unhdi.International.student.mobility","unhdi.International.inbound.tourists","FSI_Total","FSI_Demographic.Pressures","FSI_Refugees.and.IDPs","FSI_Group.Grievance","FSI_Human.Flight","FSI_Uneven.Development","FSI_Poverty.and.Economic.Decline","FSI_Legitimacy.of.the.State","FSI_Public.Services","FSI_Human.Rights","FSI_Security.Apparatus","FSI_Factionalized.Elites","FSI_External.Intervention","TI_Rank","TI_CPI2015","TI_Country","TI_Region","TI_wbcode","TI_World.Bank.CPIA","TI_World.Economic.Forum.EOS","TI_Bertelsmann.Foundation.TI","TI_African.Dev.Bank","TI_IMD.World.Competitiveness.Yearbook","TI_Bertelsmann.Foundation.SGI","TI_World.Justice.Project.ROL","TI_PRS.International.Country.Risk.Guide","TI_Economist.Intelligence.Unit","TI_IHS.Global.Insight","TI_PERC.Asia.Risk.Guide","TI_Freedom.House.NIT","TI_CPI2015.2.","TI_Rank2","TI_Number.of.Sources","TI_Std.Deviation.of.Sources","TI_Standard.Error","TI_Minimum","TI_Maximum","TI_Lower.CI","TI_Upper.CI"
"114","Marshall Islands","F",1,1,4,3,4,11,3,4,4,4,15,4,3,3,10,0,0,36,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,91,2015,"Asia Pacific","MSI",983,"MHL",584,"eap",NA,NA,1,"Marshall Islands","N/A","N/A","N/A","N/A","N/A","N/A","4,674","N/A",29.4,16.8,11.9,NA,41.4,11.93,NA,3.2,"-18.0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Mauritania","NF",6,5,1,1,1,3,1,1,0,0,2,1,2,1,4,0,0,9,2,2,3,3,10,1,1,2,4,1,1,1,1,4,1,2,1,0,4,22,31,2015,"Sub-Saharan Africa","MAA",435,"MRT",478,"ssa",3,NA,2,"Mauritania","0.506","Low","63.1","156","8.5","3.8","3,560","-14",94.2,10.7,27.1,NA,7.5,NA,-1,2.3,"-23.0","0",94.9,8.6,8.5,6.9,6.3,7.1,8,7.9,8.9,8,7.4,8.8,8.5,112,31,"Mauritania","SSA","MRT",35,12,32,35,NA,NA,NA,NA,NA,42,NA,NA,31,112,5,11.34,5.07,12,42,22.6345,39.3655
"116","Mauritius","F",1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,0,0,38,3,4,4,4,15,4,4,4,12,3,4,3,3,13,4,3,3,2,12,52,90,2015,"Sub-Saharan Africa","MAS",590,"MUS",480,"ssa",NA,NA,2,"Mauritius","0.777","High","74.4","63","15.6","8.5","17,470","0",132.3,41.4,2.2,-34.1,1.2,0,0,3.6,"-11.6","993",45.2,4.1,2.2,3.8,4.2,4.3,4.7,3.5,3.8,3.4,2.8,3.2,5.2,45,53,"Mauritius","SSA","MUS",NA,56,49,NA,NA,NA,NA,NA,54,52,NA,NA,53,45,4,2.99,1.5,49,56,50.525,55.475
"117","Mexico","PF",3,3,3,3,3,9,3,4,2,3,12,2,2,3,7,0,0,28,2,4,3,3,12,3,3,2,8,2,1,1,2,6,3,2,3,2,10,36,64,2015,"Americas","MEX",70,"MEX",484,"lac",5,3,4,"Mexico","0.756","High","76.8","74","13.1","8.5","16,056","-4",82.5,44.4,3.3,-6,0,1.83,-2,0.9,"-0.6","24,200",71.8,6.2,4.4,6.4,5.8,6.6,4.6,5.9,6.8,6.5,8,5.1,5.5,95,35,"Mexico","AME","MEX",NA,33,28,NA,28,73,20,21,38,42,NA,NA,35,95,8,17,6.01,20,73,25.0835,44.9165
"118","Micronesia","F",1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,0,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,4,3,3,14,56,93,2015,"Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,"Micronesia (Federated States of)","0.640","Medium","69.1","123","11.7","9.7","3,432","21",NA,NA,0.6,NA,41.7,6.97,-15.7,2.5,NA,"42",73.6,7.1,3.2,4,9,8.4,8.1,6,5.7,3.1,5.1,5.6,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Moldova","PF",3,3,4,3,3,10,4,3,2,3,12,4,1,1,6,0,0,28,2,3,3,3,11,3,3,2,8,2,1,2,2,7,3,2,2,2,9,35,63,2015,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,"Moldova (Republic of)","0.693","Medium","71.6","107","11.9","11.2","5,223","23",108,46.6,3.1,-2.7,4.2,24.91,-5.9,11.2,"-12.3","12",73,5.3,4.4,6.5,6.4,5.3,6.3,6.3,5.4,5.4,6.6,7.8,7.3,103,33,"Moldova","ECA","MDA",35,30,40,NA,NA,NA,16,31,38,42,NA,31,33,103,8,8.15,2.88,16,42,28.248,37.752
"120","Monaco","F",2,1,2,4,4,10,3,3,2,3,11,3,4,3,10,0,0,31,4,4,4,4,16,4,4,4,12,3,4,4,4,15,4,3,3,4,14,57,88,2015,"Europe","MNC",221,"MCO",492,"eca",NA,NA,1,"Monaco","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",88.5,92.4,NA,NA,NA,NA,NA,64.2,NA,"328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Mongolia","F",1,2,4,4,3,11,4,4,4,4,16,4,2,3,9,0,0,36,3,4,4,4,15,4,4,3,11,3,3,3,3,12,4,3,3,2,12,50,86,2015,"Asia Pacific","MON",712,"MNG",496,"eap",3,NA,2,"Mongolia","0.727","High","69.4","90","14.6","9.3","10,729","4",105.1,27,18.7,-17,4,2.22,-1.1,0.6,"-3.9","418",57,5.5,2.4,4.3,3.1,6.4,4.3,4.5,5.7,4.8,4,5.5,6.5,72,39,"Mongolia","AP","MNG",47,42,36,NA,37,NA,35,31,38,42,NA,NA,39,72,8,4.99,1.76,31,47,36.096,41.904
"122","Morocco","PF",5,4,1,2,2,5,2,2,1,2,7,1,1,1,3,0,0,15,1,2,2,3,8,2,2,2,6,1,2,2,1,6,2,2,2,1,7,27,42,2015,"Middle East and North Africa","MOR",600,"MAR",504,"mena",3,3,2,"Morocco","0.628","Medium","74.0","126","11.6","4.4","6,850","-8",131.7,56.8,3.2,-3,1.9,6.63,-2.7,0.2,"-7.7","10,000",74.6,5.5,5.3,7.1,7.6,6.3,5.3,6.5,5.7,7,5.7,6.6,6,88,36,"Morocco","MENA","MAR",NA,47,28,NA,NA,NA,22,41,38,42,NA,NA,36,88,6,9.44,3.85,22,47,29.6475,42.3525
"123","Mozambique","PF",4,3,2,2,2,6,2,2,3,3,10,3,2,2,7,0,0,23,3,4,2,3,12,2,3,2,7,2,2,1,2,7,3,2,2,2,9,35,58,2015,"Sub-Saharan Africa","MZM",541,"MOZ",508,"ssa",2,NA,3,"Mozambique","0.416","Low","55.1","180","9.3","3.2","1,123","1",69.7,5.9,42.8,-44.3,14.9,1.39,-0.2,0.8,"-1.1","1,886",86.9,8.7,5,5.9,7.4,8.6,7.8,7.2,9,6.1,7,6.9,7.3,112,31,"Mozambique","SSA","MOZ",35,28,28,22,NA,NA,NA,31,38,32,NA,NA,31,112,7,5.22,1.97,22,38,27.7495,34.2505
